,Country,LifeExpectancy,uhcCoverage,HHExpdt10,HHExpdt25,Doctors,Nurses,Dentists,Pharmacists
40,Croatia,77.58,60,,,31.73,61.92,7.91,7.19
41,Cuba,77.91,81,,,77.69,,,
42,Cyprus,82.01,75,,,26.24,40.35,7.55,6.46
43,Czechia,78.46,74,,,39.52,83.71,7.98,6.57
44,Democratic People's Republic of Korea,71.76,70,,,,,,
45,Democratic Republic of the Congo,60.44,39,,,,9.48,,
46,Denmark,80.59,82,,,39.26,102.4,7.6,5.15
47,Djibouti,64.64,44,,,,,,
48,Dominican Republic,71.75,74,,,,14.55,,
49,Ecuador,77.18,76,,,20.65,25.12,5.28,0.42
50,Egypt,70.49,65,,,8.22,19.41,1.83,3.96
51,El Salvador,73.25,75,,,,17.58,,
52,Equatorial Guinea,61.13,40,,,,,,
53,Eritrea,62.29,38,,,,11.85,,
54,Estonia,77.6,75,,,34.15,63.52,9.42,7.21
55,Eswatini,54.05,60,,,,36.01,,
56,Ethiopia,66.82,39,4.91,1.43,,,,
